name	run	timing
benchmark/large/tpch-sf100/q01.benchmark	1	1.852672
benchmark/large/tpch-sf100/q01.benchmark	2	1.841387
benchmark/large/tpch-sf100/q01.benchmark	3	1.852839
benchmark/large/tpch-sf100/q01.benchmark	4	1.852871
benchmark/large/tpch-sf100/q01.benchmark	5	1.834835
benchmark/large/tpch-sf100/q02.benchmark	1	0.395039
benchmark/large/tpch-sf100/q02.benchmark	2	0.419695
benchmark/large/tpch-sf100/q02.benchmark	3	0.388265
benchmark/large/tpch-sf100/q02.benchmark	4	0.385398
benchmark/large/tpch-sf100/q02.benchmark	5	0.360308
benchmark/large/tpch-sf100/q03.benchmark	1	1.570768
benchmark/large/tpch-sf100/q03.benchmark	2	1.551307
benchmark/large/tpch-sf100/q03.benchmark	3	1.545984
benchmark/large/tpch-sf100/q03.benchmark	4	1.541966
benchmark/large/tpch-sf100/q03.benchmark	5	1.543905
benchmark/large/tpch-sf100/q04.benchmark	1	1.846468
benchmark/large/tpch-sf100/q04.benchmark	2	1.583610
benchmark/large/tpch-sf100/q04.benchmark	3	1.570195
benchmark/large/tpch-sf100/q04.benchmark	4	1.772103
benchmark/large/tpch-sf100/q04.benchmark	5	1.591619
benchmark/large/tpch-sf100/q05.benchmark	1	1.603994
benchmark/large/tpch-sf100/q05.benchmark	2	1.559644
benchmark/large/tpch-sf100/q05.benchmark	3	1.584876
benchmark/large/tpch-sf100/q05.benchmark	4	1.560624
benchmark/large/tpch-sf100/q05.benchmark	5	1.568616
benchmark/large/tpch-sf100/q06.benchmark	1	0.462164
benchmark/large/tpch-sf100/q06.benchmark	2	0.461501
benchmark/large/tpch-sf100/q06.benchmark	3	0.460474
benchmark/large/tpch-sf100/q06.benchmark	4	0.460465
benchmark/large/tpch-sf100/q06.benchmark	5	0.464527
benchmark/large/tpch-sf100/q07.benchmark	1	1.377157
benchmark/large/tpch-sf100/q07.benchmark	2	1.357177
benchmark/large/tpch-sf100/q07.benchmark	3	1.360497
benchmark/large/tpch-sf100/q07.benchmark	4	1.378612
benchmark/large/tpch-sf100/q07.benchmark	5	1.398351
benchmark/large/tpch-sf100/q08.benchmark	1	1.439456
benchmark/large/tpch-sf100/q08.benchmark	2	1.450240
benchmark/large/tpch-sf100/q08.benchmark	3	1.489266
benchmark/large/tpch-sf100/q08.benchmark	4	1.520050
benchmark/large/tpch-sf100/q08.benchmark	5	1.537509
benchmark/large/tpch-sf100/q09.benchmark	1	4.878466
benchmark/large/tpch-sf100/q09.benchmark	2	4.874309
benchmark/large/tpch-sf100/q09.benchmark	3	4.899458
benchmark/large/tpch-sf100/q09.benchmark	4	4.978234
benchmark/large/tpch-sf100/q09.benchmark	5	4.950125
benchmark/large/tpch-sf100/q10.benchmark	1	3.194864
benchmark/large/tpch-sf100/q10.benchmark	2	2.994172
benchmark/large/tpch-sf100/q10.benchmark	3	3.066890
benchmark/large/tpch-sf100/q10.benchmark	4	3.081621
benchmark/large/tpch-sf100/q10.benchmark	5	3.100616
benchmark/large/tpch-sf100/q11.benchmark	1	0.239630
benchmark/large/tpch-sf100/q11.benchmark	2	0.232764
benchmark/large/tpch-sf100/q11.benchmark	3	0.225049
benchmark/large/tpch-sf100/q11.benchmark	4	0.233164
benchmark/large/tpch-sf100/q11.benchmark	5	0.231852
benchmark/large/tpch-sf100/q12.benchmark	1	1.221578
benchmark/large/tpch-sf100/q12.benchmark	2	1.211913
benchmark/large/tpch-sf100/q12.benchmark	3	1.212744
benchmark/large/tpch-sf100/q12.benchmark	4	1.212614
benchmark/large/tpch-sf100/q12.benchmark	5	1.222234
benchmark/large/tpch-sf100/q13.benchmark	1	4.923862
benchmark/large/tpch-sf100/q13.benchmark	2	4.948560
benchmark/large/tpch-sf100/q13.benchmark	3	4.955886
benchmark/large/tpch-sf100/q13.benchmark	4	4.988724
benchmark/large/tpch-sf100/q13.benchmark	5	4.991831
benchmark/large/tpch-sf100/q14.benchmark	1	0.938351
benchmark/large/tpch-sf100/q14.benchmark	2	0.938459
benchmark/large/tpch-sf100/q14.benchmark	3	0.935525
benchmark/large/tpch-sf100/q14.benchmark	4	0.937347
benchmark/large/tpch-sf100/q14.benchmark	5	0.945630
benchmark/large/tpch-sf100/q15.benchmark	1	0.778152
benchmark/large/tpch-sf100/q15.benchmark	2	0.761580
benchmark/large/tpch-sf100/q15.benchmark	3	0.762338
benchmark/large/tpch-sf100/q15.benchmark	4	0.761237
benchmark/large/tpch-sf100/q15.benchmark	5	0.762292
benchmark/large/tpch-sf100/q16.benchmark	1	1.025390
benchmark/large/tpch-sf100/q16.benchmark	2	1.024449
benchmark/large/tpch-sf100/q16.benchmark	3	1.019967
benchmark/large/tpch-sf100/q16.benchmark	4	1.018859
benchmark/large/tpch-sf100/q16.benchmark	5	1.023120
benchmark/large/tpch-sf100/q17.benchmark	1	1.337515
benchmark/large/tpch-sf100/q17.benchmark	2	1.342239
benchmark/large/tpch-sf100/q17.benchmark	3	1.329493
benchmark/large/tpch-sf100/q17.benchmark	4	1.335608
benchmark/large/tpch-sf100/q17.benchmark	5	1.348059
benchmark/large/tpch-sf100/q18.benchmark	1	5.768423
