name	run	timing
benchmark/large/tpch-sf100/q01.benchmark	1	1.846672
benchmark/large/tpch-sf100/q01.benchmark	2	1.850780
benchmark/large/tpch-sf100/q01.benchmark	3	1.818669
benchmark/large/tpch-sf100/q01.benchmark	4	1.843906
benchmark/large/tpch-sf100/q01.benchmark	5	1.831220
benchmark/large/tpch-sf100/q02.benchmark	1	0.448488
benchmark/large/tpch-sf100/q02.benchmark	2	0.421811
benchmark/large/tpch-sf100/q02.benchmark	3	0.427426
benchmark/large/tpch-sf100/q02.benchmark	4	0.358422
benchmark/large/tpch-sf100/q02.benchmark	5	0.360322
benchmark/large/tpch-sf100/q03.benchmark	1	1.564021
benchmark/large/tpch-sf100/q03.benchmark	2	1.545491
benchmark/large/tpch-sf100/q03.benchmark	3	1.546361
benchmark/large/tpch-sf100/q03.benchmark	4	1.544881
benchmark/large/tpch-sf100/q03.benchmark	5	1.551496
benchmark/large/tpch-sf100/q04.benchmark	1	1.652693
benchmark/large/tpch-sf100/q04.benchmark	2	1.558230
benchmark/large/tpch-sf100/q04.benchmark	3	1.625633
benchmark/large/tpch-sf100/q04.benchmark	4	1.776593
benchmark/large/tpch-sf100/q04.benchmark	5	1.655855
benchmark/large/tpch-sf100/q05.benchmark	1	1.613782
benchmark/large/tpch-sf100/q05.benchmark	2	1.580606
benchmark/large/tpch-sf100/q05.benchmark	3	1.584416
benchmark/large/tpch-sf100/q05.benchmark	4	1.563466
benchmark/large/tpch-sf100/q05.benchmark	5	1.584048
benchmark/large/tpch-sf100/q06.benchmark	1	0.464678
benchmark/large/tpch-sf100/q06.benchmark	2	0.465294
benchmark/large/tpch-sf100/q06.benchmark	3	0.464184
benchmark/large/tpch-sf100/q06.benchmark	4	0.464000
benchmark/large/tpch-sf100/q06.benchmark	5	0.472927
benchmark/large/tpch-sf100/q07.benchmark	1	1.824559
benchmark/large/tpch-sf100/q07.benchmark	2	1.560089
benchmark/large/tpch-sf100/q07.benchmark	3	1.550722
benchmark/large/tpch-sf100/q07.benchmark	4	1.552617
benchmark/large/tpch-sf100/q07.benchmark	5	1.530713
benchmark/large/tpch-sf100/q08.benchmark	1	1.617616
benchmark/large/tpch-sf100/q08.benchmark	2	1.625836
benchmark/large/tpch-sf100/q08.benchmark	3	1.624449
benchmark/large/tpch-sf100/q08.benchmark	4	1.620064
benchmark/large/tpch-sf100/q08.benchmark	5	1.632122
benchmark/large/tpch-sf100/q09.benchmark	1	4.940635
benchmark/large/tpch-sf100/q09.benchmark	2	6.362611
benchmark/large/tpch-sf100/q09.benchmark	3	6.047677
benchmark/large/tpch-sf100/q09.benchmark	4	4.958292
benchmark/large/tpch-sf100/q09.benchmark	5	5.022964
benchmark/large/tpch-sf100/q10.benchmark	1	2.924141
benchmark/large/tpch-sf100/q10.benchmark	2	2.941735
benchmark/large/tpch-sf100/q10.benchmark	3	2.935414
benchmark/large/tpch-sf100/q10.benchmark	4	2.969353
benchmark/large/tpch-sf100/q10.benchmark	5	2.952977
benchmark/large/tpch-sf100/q11.benchmark	1	0.233769
benchmark/large/tpch-sf100/q11.benchmark	2	0.228332
benchmark/large/tpch-sf100/q11.benchmark	3	0.230373
benchmark/large/tpch-sf100/q11.benchmark	4	0.228362
benchmark/large/tpch-sf100/q11.benchmark	5	0.221995
