name	run	timing
benchmark/large/tpch-sf100/q01.benchmark	1	1.911012
benchmark/large/tpch-sf100/q01.benchmark	2	1.889885
benchmark/large/tpch-sf100/q01.benchmark	3	1.902825
benchmark/large/tpch-sf100/q01.benchmark	4	1.900084
benchmark/large/tpch-sf100/q01.benchmark	5	1.906622
benchmark/large/tpch-sf100/q02.benchmark	1	0.393314
benchmark/large/tpch-sf100/q02.benchmark	2	0.368384
benchmark/large/tpch-sf100/q02.benchmark	3	0.362311
benchmark/large/tpch-sf100/q02.benchmark	4	0.360197
benchmark/large/tpch-sf100/q02.benchmark	5	0.370210
benchmark/large/tpch-sf100/q03.benchmark	1	1.959359
benchmark/large/tpch-sf100/q03.benchmark	2	1.994470
benchmark/large/tpch-sf100/q03.benchmark	3	1.995337
benchmark/large/tpch-sf100/q03.benchmark	4	1.989216
benchmark/large/tpch-sf100/q03.benchmark	5	1.996954
benchmark/large/tpch-sf100/q04.benchmark	1	2.372817
benchmark/large/tpch-sf100/q04.benchmark	2	2.588267
benchmark/large/tpch-sf100/q04.benchmark	3	2.372078
benchmark/large/tpch-sf100/q04.benchmark	4	2.390943
benchmark/large/tpch-sf100/q04.benchmark	5	2.495379
benchmark/large/tpch-sf100/q05.benchmark	1	2.115220
benchmark/large/tpch-sf100/q05.benchmark	2	2.023587
benchmark/large/tpch-sf100/q05.benchmark	3	2.102195
benchmark/large/tpch-sf100/q05.benchmark	4	2.135014
benchmark/large/tpch-sf100/q05.benchmark	5	2.121336
benchmark/large/tpch-sf100/q06.benchmark	1	0.510312
benchmark/large/tpch-sf100/q06.benchmark	2	0.511633
benchmark/large/tpch-sf100/q06.benchmark	3	0.509630
benchmark/large/tpch-sf100/q06.benchmark	4	0.510523
benchmark/large/tpch-sf100/q06.benchmark	5	0.514547
benchmark/large/tpch-sf100/q07.benchmark	1	1.709678
benchmark/large/tpch-sf100/q07.benchmark	2	1.701915
benchmark/large/tpch-sf100/q07.benchmark	3	1.707774
benchmark/large/tpch-sf100/q07.benchmark	4	1.705453
benchmark/large/tpch-sf100/q07.benchmark	5	1.718303
benchmark/large/tpch-sf100/q08.benchmark	1	1.790815
benchmark/large/tpch-sf100/q08.benchmark	2	1.780128
benchmark/large/tpch-sf100/q08.benchmark	3	1.785213
benchmark/large/tpch-sf100/q08.benchmark	4	1.780354
benchmark/large/tpch-sf100/q08.benchmark	5	1.786073
benchmark/large/tpch-sf100/q09.benchmark	1	7.840678
benchmark/large/tpch-sf100/q09.benchmark	2	9.259189
benchmark/large/tpch-sf100/q09.benchmark	3	7.433697
benchmark/large/tpch-sf100/q09.benchmark	4	8.391302
benchmark/large/tpch-sf100/q09.benchmark	5	7.669008
benchmark/large/tpch-sf100/q10.benchmark	1	3.270775
benchmark/large/tpch-sf100/q10.benchmark	2	3.291256
benchmark/large/tpch-sf100/q10.benchmark	3	3.328664
benchmark/large/tpch-sf100/q10.benchmark	4	3.538541
benchmark/large/tpch-sf100/q10.benchmark	5	3.504666
benchmark/large/tpch-sf100/q11.benchmark	1	0.241083
benchmark/large/tpch-sf100/q11.benchmark	2	0.234730
benchmark/large/tpch-sf100/q11.benchmark	3	0.226452
benchmark/large/tpch-sf100/q11.benchmark	4	0.225278
benchmark/large/tpch-sf100/q11.benchmark	5	0.240978
benchmark/large/tpch-sf100/q12.benchmark	1	1.709474
benchmark/large/tpch-sf100/q12.benchmark	2	1.709226
benchmark/large/tpch-sf100/q12.benchmark	3	1.702016
benchmark/large/tpch-sf100/q12.benchmark	4	1.704959
benchmark/large/tpch-sf100/q12.benchmark	5	1.711516
benchmark/large/tpch-sf100/q13.benchmark	1	6.081557
benchmark/large/tpch-sf100/q13.benchmark	2	7.023804
benchmark/large/tpch-sf100/q13.benchmark	3	6.451958
benchmark/large/tpch-sf100/q13.benchmark	4	7.504252
benchmark/large/tpch-sf100/q13.benchmark	5	7.011873
benchmark/large/tpch-sf100/q14.benchmark	1	1.071493
benchmark/large/tpch-sf100/q14.benchmark	2	1.070957
benchmark/large/tpch-sf100/q14.benchmark	3	1.076781
benchmark/large/tpch-sf100/q14.benchmark	4	1.076341
benchmark/large/tpch-sf100/q14.benchmark	5	1.087026
benchmark/large/tpch-sf100/q15.benchmark	1	0.979472
benchmark/large/tpch-sf100/q15.benchmark	2	0.959016
benchmark/large/tpch-sf100/q15.benchmark	3	0.954977
benchmark/large/tpch-sf100/q15.benchmark	4	0.959816
benchmark/large/tpch-sf100/q15.benchmark	5	0.956057
benchmark/large/tpch-sf100/q16.benchmark	1	1.010047
benchmark/large/tpch-sf100/q16.benchmark	2	1.013798
benchmark/large/tpch-sf100/q16.benchmark	3	1.003064
benchmark/large/tpch-sf100/q16.benchmark	4	1.005177
benchmark/large/tpch-sf100/q16.benchmark	5	1.010190
