name	run	timing
benchmark/large/tpch-sf100/q01.benchmark	1	1.997738
benchmark/large/tpch-sf100/q01.benchmark	2	1.969292
benchmark/large/tpch-sf100/q01.benchmark	3	1.976222
benchmark/large/tpch-sf100/q01.benchmark	4	1.971641
benchmark/large/tpch-sf100/q01.benchmark	5	1.986784
benchmark/large/tpch-sf100/q02.benchmark	1	0.450009
benchmark/large/tpch-sf100/q02.benchmark	2	0.387811
benchmark/large/tpch-sf100/q02.benchmark	3	0.428774
benchmark/large/tpch-sf100/q02.benchmark	4	0.380683
benchmark/large/tpch-sf100/q02.benchmark	5	0.388268
benchmark/large/tpch-sf100/q03.benchmark	1	1.640176
benchmark/large/tpch-sf100/q03.benchmark	2	1.629468
benchmark/large/tpch-sf100/q03.benchmark	3	1.602774
benchmark/large/tpch-sf100/q03.benchmark	4	1.594982
benchmark/large/tpch-sf100/q03.benchmark	5	1.598568
benchmark/large/tpch-sf100/q04.benchmark	1	1.893905
benchmark/large/tpch-sf100/q04.benchmark	2	2.093901
benchmark/large/tpch-sf100/q04.benchmark	3	2.105759
benchmark/large/tpch-sf100/q04.benchmark	4	2.289089
benchmark/large/tpch-sf100/q04.benchmark	5	2.303089
benchmark/large/tpch-sf100/q05.benchmark	1	1.983685
benchmark/large/tpch-sf100/q05.benchmark	2	2.017105
benchmark/large/tpch-sf100/q05.benchmark	3	2.115492
benchmark/large/tpch-sf100/q05.benchmark	4	2.079024
benchmark/large/tpch-sf100/q05.benchmark	5	2.109972
benchmark/large/tpch-sf100/q06.benchmark	1	0.462701
benchmark/large/tpch-sf100/q06.benchmark	2	0.461497
benchmark/large/tpch-sf100/q06.benchmark	3	0.461913
benchmark/large/tpch-sf100/q06.benchmark	4	0.461957
benchmark/large/tpch-sf100/q06.benchmark	5	0.466237
benchmark/large/tpch-sf100/q07.benchmark	1	1.547195
benchmark/large/tpch-sf100/q07.benchmark	2	1.588650
benchmark/large/tpch-sf100/q07.benchmark	3	1.543100
benchmark/large/tpch-sf100/q07.benchmark	4	1.584896
benchmark/large/tpch-sf100/q07.benchmark	5	1.581925
benchmark/large/tpch-sf100/q08.benchmark	1	2.185640
benchmark/large/tpch-sf100/q08.benchmark	2	1.674022
benchmark/large/tpch-sf100/q08.benchmark	3	1.695385
benchmark/large/tpch-sf100/q08.benchmark	4	1.685455
benchmark/large/tpch-sf100/q08.benchmark	5	1.714613
benchmark/large/tpch-sf100/q09.benchmark	1	6.035978
benchmark/large/tpch-sf100/q09.benchmark	2	6.061208
benchmark/large/tpch-sf100/q09.benchmark	3	6.024074
benchmark/large/tpch-sf100/q09.benchmark	4	6.135213
benchmark/large/tpch-sf100/q09.benchmark	5	6.165786
benchmark/large/tpch-sf100/q10.benchmark	1	3.123967
benchmark/large/tpch-sf100/q10.benchmark	2	3.097964
benchmark/large/tpch-sf100/q10.benchmark	3	3.138673
benchmark/large/tpch-sf100/q10.benchmark	4	3.190107
benchmark/large/tpch-sf100/q10.benchmark	5	3.170061
benchmark/large/tpch-sf100/q11.benchmark	1	0.231290
benchmark/large/tpch-sf100/q11.benchmark	2	0.232315
benchmark/large/tpch-sf100/q11.benchmark	3	0.220126
benchmark/large/tpch-sf100/q11.benchmark	4	0.230101
benchmark/large/tpch-sf100/q11.benchmark	5	0.231267
benchmark/large/tpch-sf100/q12.benchmark	1	1.301222
benchmark/large/tpch-sf100/q12.benchmark	2	1.630642
benchmark/large/tpch-sf100/q12.benchmark	3	1.631847
benchmark/large/tpch-sf100/q12.benchmark	4	1.630880
benchmark/large/tpch-sf100/q12.benchmark	5	1.632941
benchmark/large/tpch-sf100/q13.benchmark	1	5.770166
benchmark/large/tpch-sf100/q13.benchmark	2	5.723457
benchmark/large/tpch-sf100/q13.benchmark	3	5.776232
benchmark/large/tpch-sf100/q13.benchmark	4	5.905583
benchmark/large/tpch-sf100/q13.benchmark	5	6.262903
benchmark/large/tpch-sf100/q14.benchmark	1	1.022456
benchmark/large/tpch-sf100/q14.benchmark	2	1.034687
benchmark/large/tpch-sf100/q14.benchmark	3	1.034229
benchmark/large/tpch-sf100/q14.benchmark	4	1.031582
benchmark/large/tpch-sf100/q14.benchmark	5	1.039456
