name	run	timing
benchmark/large/tpch-sf100/q01.benchmark	1	1.982085
benchmark/large/tpch-sf100/q01.benchmark	2	1.993383
benchmark/large/tpch-sf100/q01.benchmark	3	1.990631
benchmark/large/tpch-sf100/q01.benchmark	4	2.001803
benchmark/large/tpch-sf100/q01.benchmark	5	2.003123
benchmark/large/tpch-sf100/q02.benchmark	1	0.378251
benchmark/large/tpch-sf100/q02.benchmark	2	0.388989
benchmark/large/tpch-sf100/q02.benchmark	3	0.363709
benchmark/large/tpch-sf100/q02.benchmark	4	0.366418
benchmark/large/tpch-sf100/q02.benchmark	5	0.415350
benchmark/large/tpch-sf100/q03.benchmark	1	1.725456
benchmark/large/tpch-sf100/q03.benchmark	2	1.743290
benchmark/large/tpch-sf100/q03.benchmark	3	1.796859
benchmark/large/tpch-sf100/q03.benchmark	4	1.827387
benchmark/large/tpch-sf100/q03.benchmark	5	1.823028
benchmark/large/tpch-sf100/q04.benchmark	1	2.332994
benchmark/large/tpch-sf100/q04.benchmark	2	2.533069
benchmark/large/tpch-sf100/q04.benchmark	3	2.541359
benchmark/large/tpch-sf100/q04.benchmark	4	2.531295
benchmark/large/tpch-sf100/q04.benchmark	5	2.530183
benchmark/large/tpch-sf100/q05.benchmark	1	2.003095
benchmark/large/tpch-sf100/q05.benchmark	2	2.055614
benchmark/large/tpch-sf100/q05.benchmark	3	2.124133
benchmark/large/tpch-sf100/q05.benchmark	4	2.265729
benchmark/large/tpch-sf100/q05.benchmark	5	2.301007
benchmark/large/tpch-sf100/q06.benchmark	1	0.491288
benchmark/large/tpch-sf100/q06.benchmark	2	0.489819
benchmark/large/tpch-sf100/q06.benchmark	3	0.489053
benchmark/large/tpch-sf100/q06.benchmark	4	0.489041
benchmark/large/tpch-sf100/q06.benchmark	5	0.488210
benchmark/large/tpch-sf100/q07.benchmark	1	1.682913
benchmark/large/tpch-sf100/q07.benchmark	2	1.667476
benchmark/large/tpch-sf100/q07.benchmark	3	1.638259
benchmark/large/tpch-sf100/q07.benchmark	4	1.661949
benchmark/large/tpch-sf100/q07.benchmark	5	1.686284
benchmark/large/tpch-sf100/q08.benchmark	1	1.712560
benchmark/large/tpch-sf100/q08.benchmark	2	1.707358
benchmark/large/tpch-sf100/q08.benchmark	3	1.741286
benchmark/large/tpch-sf100/q08.benchmark	4	1.727899
benchmark/large/tpch-sf100/q08.benchmark	5	1.762729
benchmark/large/tpch-sf100/q09.benchmark	1	7.687196
benchmark/large/tpch-sf100/q09.benchmark	2	7.486946
benchmark/large/tpch-sf100/q09.benchmark	3	8.443885
benchmark/large/tpch-sf100/q09.benchmark	4	7.468412
benchmark/large/tpch-sf100/q09.benchmark	5	8.300572
benchmark/large/tpch-sf100/q10.benchmark	1	3.406476
benchmark/large/tpch-sf100/q10.benchmark	2	3.426820
benchmark/large/tpch-sf100/q10.benchmark	3	3.428409
benchmark/large/tpch-sf100/q10.benchmark	4	3.461616
benchmark/large/tpch-sf100/q10.benchmark	5	3.439977
