name	run	timing
benchmark/large/tpch-sf100/q01.benchmark	1	1.860370
benchmark/large/tpch-sf100/q01.benchmark	2	1.822129
benchmark/large/tpch-sf100/q01.benchmark	3	1.833534
benchmark/large/tpch-sf100/q01.benchmark	4	1.834836
benchmark/large/tpch-sf100/q01.benchmark	5	1.849783
benchmark/large/tpch-sf100/q02.benchmark	1	0.406025
benchmark/large/tpch-sf100/q02.benchmark	2	0.426227
benchmark/large/tpch-sf100/q02.benchmark	3	0.366533
benchmark/large/tpch-sf100/q02.benchmark	4	0.419203
benchmark/large/tpch-sf100/q02.benchmark	5	0.375535
benchmark/large/tpch-sf100/q03.benchmark	1	1.567930
benchmark/large/tpch-sf100/q03.benchmark	2	1.552746
benchmark/large/tpch-sf100/q03.benchmark	3	1.557533
benchmark/large/tpch-sf100/q03.benchmark	4	1.547993
benchmark/large/tpch-sf100/q03.benchmark	5	1.553554
benchmark/large/tpch-sf100/q04.benchmark	1	1.830463
benchmark/large/tpch-sf100/q04.benchmark	2	1.774810
benchmark/large/tpch-sf100/q04.benchmark	3	1.769305
benchmark/large/tpch-sf100/q04.benchmark	4	1.760628
benchmark/large/tpch-sf100/q04.benchmark	5	1.761634
benchmark/large/tpch-sf100/q05.benchmark	1	1.611961
benchmark/large/tpch-sf100/q05.benchmark	2	1.583589
benchmark/large/tpch-sf100/q05.benchmark	3	1.583310
benchmark/large/tpch-sf100/q05.benchmark	4	1.576206
benchmark/large/tpch-sf100/q05.benchmark	5	1.584209
benchmark/large/tpch-sf100/q06.benchmark	1	0.462577
benchmark/large/tpch-sf100/q06.benchmark	2	0.464005
benchmark/large/tpch-sf100/q06.benchmark	3	0.462631
benchmark/large/tpch-sf100/q06.benchmark	4	0.465735
benchmark/large/tpch-sf100/q06.benchmark	5	0.462909
benchmark/large/tpch-sf100/q07.benchmark	1	1.525114
benchmark/large/tpch-sf100/q07.benchmark	2	1.558232
benchmark/large/tpch-sf100/q07.benchmark	3	1.568963
benchmark/large/tpch-sf100/q07.benchmark	4	1.532575
benchmark/large/tpch-sf100/q07.benchmark	5	1.559330
benchmark/large/tpch-sf100/q08.benchmark	1	1.673575
benchmark/large/tpch-sf100/q08.benchmark	2	1.706735
