name	run	timing
benchmark/large/tpch-sf100/q01.benchmark	1	1.839019
benchmark/large/tpch-sf100/q01.benchmark	2	1.830593
benchmark/large/tpch-sf100/q01.benchmark	3	1.815369
benchmark/large/tpch-sf100/q01.benchmark	4	1.820750
benchmark/large/tpch-sf100/q01.benchmark	5	1.840434
benchmark/large/tpch-sf100/q02.benchmark	1	0.401183
benchmark/large/tpch-sf100/q02.benchmark	2	0.415716
benchmark/large/tpch-sf100/q02.benchmark	3	0.419138
benchmark/large/tpch-sf100/q02.benchmark	4	0.363989
benchmark/large/tpch-sf100/q02.benchmark	5	0.369198
benchmark/large/tpch-sf100/q03.benchmark	1	1.595507
benchmark/large/tpch-sf100/q03.benchmark	2	1.597584
benchmark/large/tpch-sf100/q03.benchmark	3	1.609746
benchmark/large/tpch-sf100/q03.benchmark	4	1.611007
benchmark/large/tpch-sf100/q03.benchmark	5	1.609668
benchmark/large/tpch-sf100/q04.benchmark	1	1.855503
benchmark/large/tpch-sf100/q04.benchmark	2	1.799759
benchmark/large/tpch-sf100/q04.benchmark	3	1.812041
benchmark/large/tpch-sf100/q04.benchmark	4	1.814682
benchmark/large/tpch-sf100/q04.benchmark	5	1.591959
benchmark/large/tpch-sf100/q05.benchmark	1	1.921428
benchmark/large/tpch-sf100/q05.benchmark	2	2.027980
benchmark/large/tpch-sf100/q05.benchmark	3	2.018501
benchmark/large/tpch-sf100/q05.benchmark	4	2.015682
benchmark/large/tpch-sf100/q05.benchmark	5	2.218923
benchmark/large/tpch-sf100/q06.benchmark	1	0.464275
benchmark/large/tpch-sf100/q06.benchmark	2	0.464109
benchmark/large/tpch-sf100/q06.benchmark	3	0.463305
benchmark/large/tpch-sf100/q06.benchmark	4	0.463100
benchmark/large/tpch-sf100/q06.benchmark	5	0.463126
benchmark/large/tpch-sf100/q07.benchmark	1	1.569689
benchmark/large/tpch-sf100/q07.benchmark	2	1.537200
benchmark/large/tpch-sf100/q07.benchmark	3	1.572493
benchmark/large/tpch-sf100/q07.benchmark	4	1.576360
benchmark/large/tpch-sf100/q07.benchmark	5	1.584599
benchmark/large/tpch-sf100/q08.benchmark	1	1.720329
benchmark/large/tpch-sf100/q08.benchmark	2	1.716410
benchmark/large/tpch-sf100/q08.benchmark	3	1.733684
benchmark/large/tpch-sf100/q08.benchmark	4	1.731661
benchmark/large/tpch-sf100/q08.benchmark	5	1.769827
benchmark/large/tpch-sf100/q09.benchmark	1	5.911629
benchmark/large/tpch-sf100/q09.benchmark	2	5.839556
benchmark/large/tpch-sf100/q09.benchmark	3	5.819943
benchmark/large/tpch-sf100/q09.benchmark	4	5.795177
benchmark/large/tpch-sf100/q09.benchmark	5	5.857349
benchmark/large/tpch-sf100/q10.benchmark	1	3.271710
benchmark/large/tpch-sf100/q10.benchmark	2	3.233201
benchmark/large/tpch-sf100/q10.benchmark	3	2.967433
benchmark/large/tpch-sf100/q10.benchmark	4	2.990208
benchmark/large/tpch-sf100/q10.benchmark	5	3.241785
benchmark/large/tpch-sf100/q11.benchmark	1	0.234733
benchmark/large/tpch-sf100/q11.benchmark	2	0.228007
benchmark/large/tpch-sf100/q11.benchmark	3	0.227120
benchmark/large/tpch-sf100/q11.benchmark	4	0.228937
benchmark/large/tpch-sf100/q11.benchmark	5	0.227159
benchmark/large/tpch-sf100/q12.benchmark	1	1.305214
benchmark/large/tpch-sf100/q12.benchmark	2	1.294942
benchmark/large/tpch-sf100/q12.benchmark	3	1.313923
benchmark/large/tpch-sf100/q12.benchmark	4	1.315206
benchmark/large/tpch-sf100/q12.benchmark	5	1.397234
benchmark/large/tpch-sf100/q13.benchmark	1	5.768412
benchmark/large/tpch-sf100/q13.benchmark	2	5.628494
benchmark/large/tpch-sf100/q13.benchmark	3	5.341233
benchmark/large/tpch-sf100/q13.benchmark	4	5.334097
benchmark/large/tpch-sf100/q13.benchmark	5	5.390541
benchmark/large/tpch-sf100/q14.benchmark	1	1.040241
benchmark/large/tpch-sf100/q14.benchmark	2	1.039623
benchmark/large/tpch-sf100/q14.benchmark	3	1.042528
benchmark/large/tpch-sf100/q14.benchmark	4	1.042497
benchmark/large/tpch-sf100/q14.benchmark	5	1.053616
benchmark/large/tpch-sf100/q15.benchmark	1	0.907597
benchmark/large/tpch-sf100/q15.benchmark	2	0.881727
benchmark/large/tpch-sf100/q15.benchmark	3	0.892713
benchmark/large/tpch-sf100/q15.benchmark	4	0.893650
benchmark/large/tpch-sf100/q15.benchmark	5	0.895690
benchmark/large/tpch-sf100/q16.benchmark	1	1.022207
benchmark/large/tpch-sf100/q16.benchmark	2	1.017094
benchmark/large/tpch-sf100/q16.benchmark	3	1.010617
benchmark/large/tpch-sf100/q16.benchmark	4	1.010706
benchmark/large/tpch-sf100/q16.benchmark	5	1.006414
benchmark/large/tpch-sf100/q17.benchmark	1	1.399950
benchmark/large/tpch-sf100/q17.benchmark	2	1.374543
benchmark/large/tpch-sf100/q17.benchmark	3	1.388573
benchmark/large/tpch-sf100/q17.benchmark	4	1.421298
benchmark/large/tpch-sf100/q17.benchmark	5	1.399434
benchmark/large/tpch-sf100/q18.benchmark	1	6.064333
benchmark/large/tpch-sf100/q18.benchmark	2	5.972671
benchmark/large/tpch-sf100/q18.benchmark	3	5.902476
benchmark/large/tpch-sf100/q18.benchmark	4	5.939495
benchmark/large/tpch-sf100/q18.benchmark	5	6.541016
benchmark/large/tpch-sf100/q19.benchmark	1	1.037722
benchmark/large/tpch-sf100/q19.benchmark	2	1.032770
benchmark/large/tpch-sf100/q19.benchmark	3	1.036422
benchmark/large/tpch-sf100/q19.benchmark	4	1.038066
