name	run	timing
benchmark/large/tpch-sf100/q19.benchmark	4	1.000264
benchmark/large/tpch-sf100/q19.benchmark	5	1.004717
benchmark/large/tpch-sf100/q20.benchmark	1	1.458724
benchmark/large/tpch-sf100/q20.benchmark	2	1.467689
benchmark/large/tpch-sf100/q20.benchmark	3	1.426388
benchmark/large/tpch-sf100/q20.benchmark	4	1.422778
benchmark/large/tpch-sf100/q20.benchmark	5	1.422039
benchmark/large/tpch-sf100/q21.benchmark	1	7.738125
benchmark/large/tpch-sf100/q21.benchmark	2	7.714463
benchmark/large/tpch-sf100/q21.benchmark	3	7.707992
benchmark/large/tpch-sf100/q21.benchmark	4	7.737041
benchmark/large/tpch-sf100/q21.benchmark	5	7.730895
benchmark/large/tpch-sf100/q22.benchmark	1	0.916878
benchmark/large/tpch-sf100/q22.benchmark	2	0.929537
benchmark/large/tpch-sf100/q22.benchmark	3	0.926663
benchmark/large/tpch-sf100/q22.benchmark	4	0.908701
benchmark/large/tpch-sf100/q22.benchmark	5	0.925204
pid: 36340
