name	run	timing
benchmark/large/tpch-sf100/q01.benchmark	1	1.877860
benchmark/large/tpch-sf100/q01.benchmark	2	1.824949
benchmark/large/tpch-sf100/q01.benchmark	3	1.841519
benchmark/large/tpch-sf100/q01.benchmark	4	1.823771
benchmark/large/tpch-sf100/q01.benchmark	5	1.827519
benchmark/large/tpch-sf100/q02.benchmark	1	0.434529
benchmark/large/tpch-sf100/q02.benchmark	2	0.414658
benchmark/large/tpch-sf100/q02.benchmark	3	0.356026
benchmark/large/tpch-sf100/q02.benchmark	4	0.359535
benchmark/large/tpch-sf100/q02.benchmark	5	0.359226
benchmark/large/tpch-sf100/q03.benchmark	1	1.683156
benchmark/large/tpch-sf100/q03.benchmark	2	1.570078
benchmark/large/tpch-sf100/q03.benchmark	3	1.571303
benchmark/large/tpch-sf100/q03.benchmark	4	1.550142
benchmark/large/tpch-sf100/q03.benchmark	5	1.541796
benchmark/large/tpch-sf100/q04.benchmark	1	1.862175
benchmark/large/tpch-sf100/q04.benchmark	2	1.630021
benchmark/large/tpch-sf100/q04.benchmark	3	1.807600
benchmark/large/tpch-sf100/q04.benchmark	4	1.793133
benchmark/large/tpch-sf100/q04.benchmark	5	1.791176
benchmark/large/tpch-sf100/q05.benchmark	1	1.965377
benchmark/large/tpch-sf100/q05.benchmark	2	1.957471
benchmark/large/tpch-sf100/q05.benchmark	3	2.020465
benchmark/large/tpch-sf100/q05.benchmark	4	2.027472
benchmark/large/tpch-sf100/q05.benchmark	5	2.227583
benchmark/large/tpch-sf100/q06.benchmark	1	0.462394
benchmark/large/tpch-sf100/q06.benchmark	2	0.463313
benchmark/large/tpch-sf100/q06.benchmark	3	0.462546
benchmark/large/tpch-sf100/q06.benchmark	4	0.463094
benchmark/large/tpch-sf100/q06.benchmark	5	0.462684
benchmark/large/tpch-sf100/q07.benchmark	1	1.574606
benchmark/large/tpch-sf100/q07.benchmark	2	1.567426
benchmark/large/tpch-sf100/q07.benchmark	3	1.561243
benchmark/large/tpch-sf100/q07.benchmark	4	1.529923
benchmark/large/tpch-sf100/q07.benchmark	5	1.560750
benchmark/large/tpch-sf100/q08.benchmark	1	1.673716
benchmark/large/tpch-sf100/q08.benchmark	2	1.673945
benchmark/large/tpch-sf100/q08.benchmark	3	1.667095
benchmark/large/tpch-sf100/q08.benchmark	4	1.664260
benchmark/large/tpch-sf100/q08.benchmark	5	1.681401
benchmark/large/tpch-sf100/q09.benchmark	1	5.737410
benchmark/large/tpch-sf100/q09.benchmark	2	5.815471
benchmark/large/tpch-sf100/q09.benchmark	3	7.232839
benchmark/large/tpch-sf100/q09.benchmark	4	5.723086
benchmark/large/tpch-sf100/q09.benchmark	5	5.743303
benchmark/large/tpch-sf100/q10.benchmark	1	3.334929
benchmark/large/tpch-sf100/q10.benchmark	2	3.693330
benchmark/large/tpch-sf100/q10.benchmark	3	3.294015
benchmark/large/tpch-sf100/q10.benchmark	4	3.277142
benchmark/large/tpch-sf100/q10.benchmark	5	3.301991
benchmark/large/tpch-sf100/q11.benchmark	1	0.230996
benchmark/large/tpch-sf100/q11.benchmark	2	0.221947
benchmark/large/tpch-sf100/q11.benchmark	3	0.221770
benchmark/large/tpch-sf100/q11.benchmark	4	0.228268
benchmark/large/tpch-sf100/q11.benchmark	5	0.229470
benchmark/large/tpch-sf100/q12.benchmark	1	1.260831
benchmark/large/tpch-sf100/q12.benchmark	2	1.243963
benchmark/large/tpch-sf100/q12.benchmark	3	1.242521
benchmark/large/tpch-sf100/q12.benchmark	4	1.243829
benchmark/large/tpch-sf100/q12.benchmark	5	1.246254
benchmark/large/tpch-sf100/q13.benchmark	1	5.307078
benchmark/large/tpch-sf100/q13.benchmark	2	5.280035
benchmark/large/tpch-sf100/q13.benchmark	3	5.307224
benchmark/large/tpch-sf100/q13.benchmark	4	5.284792
benchmark/large/tpch-sf100/q13.benchmark	5	5.403844
benchmark/large/tpch-sf100/q14.benchmark	1	1.024218
benchmark/large/tpch-sf100/q14.benchmark	2	1.021328
benchmark/large/tpch-sf100/q14.benchmark	3	1.030156
benchmark/large/tpch-sf100/q14.benchmark	4	1.031284
benchmark/large/tpch-sf100/q14.benchmark	5	1.040314
benchmark/large/tpch-sf100/q15.benchmark	1	0.927630
benchmark/large/tpch-sf100/q15.benchmark	2	0.914230
benchmark/large/tpch-sf100/q15.benchmark	3	0.912328
benchmark/large/tpch-sf100/q15.benchmark	4	0.913577
benchmark/large/tpch-sf100/q15.benchmark	5	0.913640
benchmark/large/tpch-sf100/q16.benchmark	1	1.008613
benchmark/large/tpch-sf100/q16.benchmark	2	1.015399
benchmark/large/tpch-sf100/q16.benchmark	3	1.005728
benchmark/large/tpch-sf100/q16.benchmark	4	1.000443
benchmark/large/tpch-sf100/q16.benchmark	5	1.012012
benchmark/large/tpch-sf100/q17.benchmark	1	1.330245
benchmark/large/tpch-sf100/q17.benchmark	2	1.329952
benchmark/large/tpch-sf100/q17.benchmark	3	1.335353
benchmark/large/tpch-sf100/q17.benchmark	4	1.336884
benchmark/large/tpch-sf100/q17.benchmark	5	1.326429
benchmark/large/tpch-sf100/q18.benchmark	1	5.866808
benchmark/large/tpch-sf100/q18.benchmark	2	5.646758
benchmark/large/tpch-sf100/q18.benchmark	3	5.643254
benchmark/large/tpch-sf100/q18.benchmark	4	5.757875
benchmark/large/tpch-sf100/q18.benchmark	5	5.618539
benchmark/large/tpch-sf100/q19.benchmark	1	0.985328
benchmark/large/tpch-sf100/q19.benchmark	2	0.983575
benchmark/large/tpch-sf100/q19.benchmark	3	0.988251
benchmark/large/tpch-sf100/q19.benchmark	4	0.989009
benchmark/large/tpch-sf100/q19.benchmark	5	0.993289
benchmark/large/tpch-sf100/q20.benchmark	1	1.374305
benchmark/large/tpch-sf100/q20.benchmark	2	1.406777
benchmark/large/tpch-sf100/q20.benchmark	3	1.372130
benchmark/large/tpch-sf100/q20.benchmark	4	1.380689
benchmark/large/tpch-sf100/q20.benchmark	5	1.422382
benchmark/large/tpch-sf100/q21.benchmark	1	7.369796
benchmark/large/tpch-sf100/q21.benchmark	2	7.249804
benchmark/large/tpch-sf100/q21.benchmark	3	6.920733
benchmark/large/tpch-sf100/q21.benchmark	4	7.240401
benchmark/large/tpch-sf100/q21.benchmark	5	7.481322
benchmark/large/tpch-sf100/q22.benchmark	1	0.911182
benchmark/large/tpch-sf100/q22.benchmark	2	0.931387
benchmark/large/tpch-sf100/q22.benchmark	3	0.917033
benchmark/large/tpch-sf100/q22.benchmark	4	0.924748
benchmark/large/tpch-sf100/q22.benchmark	5	0.930642
pid: 19285
